sheet,row,col,index,id
b09-01,1,1,1,sailboat
b09-01,1,2,2,taxi
b09-01,1,3,3,tram
b09-01,2,1,4,submarine
b09-01,2,2,5,skateboard
b09-01,2,3,6,parachute
b09-02,1,1,1,anchor
b09-02,1,2,2,garbage_truck
b09-02,1,3,3,cement_mixer
b09-02,2,1,4,bulldozer
b09-02,2,2,5,race_car
b09-02,2,3,6,steering_wheel
b09-03,1,1,1,canoe
b09-03,1,2,2,raft
b09-03,1,3,3,ticket
b09-03,2,1,4,compass
b09-03,2,2,5,dump_truck
b09-03,2,3,6,snowmobile
b09-04,1,1,1,steam_train
b09-04,1,2,2,carriage
b09-04,1,3,3,traffic_cone
b09-04,2,1,4,road_sign
b09-04,2,2,5,airship
b09-04,2,3,6,tricycle
b09-05,1,1,1,shopping_cart
b09-05,1,2,2,paddle
b09-05,1,3,3,police_officer
b09-05,2,1,4,builder
b09-05,2,2,5,farmer
b09-05,2,3,6,artist
b09-06,1,1,1,knight
b09-06,1,2,2,mail_carrier
b09-06,1,3,3,cowboy
b09-06,2,1,4,ballerina
b09-06,2,2,5,diver
b09-06,2,3,6,sailor
b09-07,1,1,1,driver
b09-07,1,2,2,superhero
b09-07,1,3,3,gnome
b09-07,2,1,4,nurse
b09-07,2,2,5,baker
b09-07,2,3,6,singer
b09-08,1,1,1,soccer_player
b09-08,1,2,2,juggler
b09-08,1,3,3,prince
b09-08,2,1,4,ninja
b09-08,2,2,5,hairdresser
b09-08,2,3,6,gardener
b09-09,1,1,1,photographer
b09-09,1,2,2,scientist
b09-09,1,3,3,detective
b09-09,2,1,4,captain
b09-09,2,2,5,waiter
b09-09,2,3,6,mechanic
b09-10,1,1,1,saw
b09-10,1,2,2,nail
b09-10,1,3,3,screwdriver
b09-10,2,1,4,rake
b09-10,2,2,5,wheelbarrow
b09-10,2,3,6,magnet
b09-11,1,1,1,rope
b09-11,1,2,2,scale
b09-11,1,3,3,brick
b09-11,2,1,4,toolbox
b09-11,2,2,5,paint_roller
b09-11,2,3,6,drill
b09-12,1,1,1,tape_measure
b09-12,1,2,2,needle
b09-12,1,3,3,chain
b09-12,2,1,4,hook
b09-12,2,2,5,axe
b09-12,2,3,6,pliers
b09-13,1,1,1,screw
b09-13,1,2,2,lawn_mower
b09-13,1,3,3,glue
b09-13,2,1,4,ruler
b09-13,2,2,5,eraser
b09-13,2,3,6,chalk
b09-14,1,1,1,blackboard
b09-14,1,2,2,map
b09-14,1,3,3,sharpener
b09-14,2,1,4,magnifying_glass
b09-14,2,2,5,marker
b09-14,2,3,6,desk
b09-15,1,1,1,microscope
b09-15,1,2,2,calendar
b09-15,1,3,3,pencil_case
b09-15,2,1,4,abacus
b09-15,2,2,5,newspaper
b09-15,2,3,6,palette
b09-16,1,1,1,tape
b09-16,1,2,2,stapler
b09-16,1,3,3,paper_clip
b09-16,2,1,4,crayons
b09-16,2,2,5,paper
b09-16,2,3,6,stamp
b09-17,1,1,1,postcard
b09-17,1,2,2,violin
b09-17,1,3,3,flute
b09-17,2,1,4,accordion
b09-17,2,2,5,xylophone
b09-17,2,3,6,music_note
b09-18,1,1,1,tambourine
b09-18,1,2,2,maracas
b09-18,1,3,3,saxophone
b09-18,2,1,4,harmonica
b09-18,2,2,5,gong
b09-18,2,3,6,record
b09-19,1,1,1,family
b09-19,1,2,2,cable_car
b09-19,2,1,3,hot_air_balloon
b09-19,2,2,4,crane
b09-20,1,1,1,easel
b09-20,1,2,2,harp
b09-20,2,1,3,cello
b09-20,2,2,4,tuba
