sheet,row,col,index,id
b06-01,1,1,1,knife
b06-01,1,2,2,glass
b06-01,1,3,3,oven
b06-01,2,1,4,toaster
b06-01,2,2,5,ladle
b06-01,2,3,6,rolling_pin
b06-02,1,1,1,jug
b06-02,1,2,2,saucepan_lid
b06-02,1,3,3,tray
b06-02,2,1,4,colander
b06-02,2,2,5,grater
b06-02,2,3,6,whisk
b06-03,1,1,1,jar
b06-03,1,2,2,thermos
b06-03,1,3,3,microwave
b06-03,2,1,4,dishwasher
b06-03,2,2,5,spatula
b06-03,2,3,6,lunch_box
b06-04,1,1,1,armchair
b06-04,1,2,2,shelf
b06-04,1,3,3,rug
b06-04,2,1,4,curtains
b06-04,2,2,5,stool
b06-04,2,3,6,chest_of_drawers
b06-05,1,1,1,vase
b06-05,1,2,2,painting
b06-05,1,3,3,fireplace
b06-05,2,1,4,flowerpot
b06-05,2,2,5,chandelier
b06-05,2,3,6,photo_frame
b06-06,1,1,1,roof
b06-06,1,2,2,socket
b06-06,1,3,3,elevator
b06-06,2,1,4,mailbox
b06-06,2,2,5,air_conditioner
b06-06,2,3,6,fan
b06-07,1,1,1,toothpaste
b06-07,1,2,2,shower
b06-07,1,3,3,tap
b06-07,2,1,4,sink
b06-07,2,2,5,shampoo
b06-07,2,3,6,hair_dryer
b06-08,1,1,1,iron
b06-08,1,2,2,hanger
b06-08,1,3,3,mop
b06-08,2,1,4,dustpan
b06-08,2,2,5,clothespin
b06-08,2,3,6,bathrobe
b06-09,1,1,1,cradle
b06-09,1,2,2,diaper
b06-09,1,3,3,baby_bottle
b06-09,2,1,4,bib
b06-09,2,2,5,bunk_bed
b06-09,2,3,6,hairbrush
b06-10,1,1,1,thermometer
b06-10,1,2,2,first_aid_kit
b06-10,1,3,3,stethoscope
b06-10,2,1,4,alarm_clock
b06-10,2,2,5,hourglass
b06-10,2,3,6,birdcage
b06-11,1,1,1,battery
b06-11,1,2,2,microphone
b06-11,1,3,3,laptop
b06-11,2,1,4,remote
b06-11,2,2,5,tablet
b06-11,2,3,6,radio
b06-12,1,1,1,drone
b06-12,1,2,2,calculator
b06-12,1,3,3,printer
b06-12,2,1,4,keyboard
b06-12,2,2,5,speaker
b06-12,2,3,6,telescope
b06-13,1,1,1,folding_fan
b06-13,1,2,2,barrel
b06-13,1,3,3,paint_can
b06-13,2,1,4,yo_yo
b06-13,2,2,5,spinning_top
b06-13,2,3,6,hoop
b06-14,1,1,1,skittles
b06-14,1,2,2,pyramid_toy
b06-14,1,3,3,rocking_horse
b06-14,2,1,4,dollhouse
b06-14,2,2,5,dice
b06-14,2,3,6,rattle
b06-15,1,1,1,paper_boat
b06-15,1,2,2,ball_of_yarn
b06-15,1,3,3,kaleidoscope
b06-15,2,1,4,chess
b06-15,2,2,5,dominoes
b06-15,2,3,6,coloring_book
