sheet,row,col,index,id
b07-01,1,1,1,melon
b07-01,1,2,2,plum
b07-01,1,3,3,apricot
b07-01,2,1,4,kiwi
b07-01,2,2,5,mango
b07-01,2,3,6,coconut
b07-02,1,1,1,blueberry
b07-02,1,2,2,pomegranate
b07-02,1,3,3,avocado
b07-02,2,1,4,fig
b07-02,2,2,5,grapefruit
b07-02,2,3,6,blackberry
b07-03,1,1,1,currant
b07-03,1,2,2,lime
b07-03,1,3,3,persimmon
b07-03,2,1,4,cranberry
b07-03,2,2,5,dates
b07-03,2,3,6,olive
b07-04,1,1,1,garlic
b07-04,1,2,2,eggplant
b07-04,1,3,3,beet
b07-04,2,1,4,radish
b07-04,2,2,5,zucchini
b07-04,2,3,6,cauliflower
b07-05,1,1,1,chili
b07-05,1,2,2,dill
b07-05,1,3,3,beans
b07-05,2,1,4,turnip
b07-05,2,2,5,asparagus
b07-05,2,3,6,parsley
b07-06,1,1,1,walnut
b07-06,1,2,2,chestnut
b07-06,1,3,3,peanut
b07-06,2,1,4,fried_egg
b07-06,2,2,5,rice
b07-06,2,3,6,porridge
b07-07,1,1,1,hot_dog
b07-07,1,2,2,salad
b07-07,1,3,3,borscht
b07-07,2,1,4,meatballs
b07-07,2,2,5,omelette
b07-07,2,3,6,chicken_leg
b07-08,1,1,1,pie
b07-08,1,2,2,waffle
b07-08,1,3,3,pretzel
b07-08,2,1,4,bagel
b07-08,2,2,5,croissant
b07-08,2,3,6,baguette
b07-09,1,1,1,cotton_candy
b07-09,1,2,2,cupcake
b07-09,1,3,3,gingerbread_man
b07-09,2,1,4,marshmallow
b07-09,2,2,5,jelly
b07-09,2,3,6,chewing_gum
b07-10,1,1,1,tea
b07-10,1,2,2,cocoa
b07-10,1,3,3,lemonade
b07-10,2,1,4,milkshake
b07-10,2,2,5,yogurt
b07-10,2,3,6,cereal
b07-11,1,1,1,ketchup
b07-11,1,2,2,jam
b07-11,1,3,3,butter
b07-11,2,1,4,salt
b07-11,2,2,5,sugar
b07-11,2,3,6,toast
b07-12,1,1,1,sushi
b07-12,1,2,2,taco
b07-12,1,3,3,chopsticks
b07-12,2,1,4,straw
b07-12,2,2,5,hat
b07-12,2,3,6,beret
b07-13,1,1,1,coat
b07-13,1,2,2,shirt
b07-13,1,3,3,jeans
b07-13,2,1,4,swimsuit
b07-13,2,2,5,raincoat
b07-13,2,3,6,hoodie
b07-14,1,1,1,overalls
b07-14,1,2,2,tights
b07-14,1,3,3,vest
b07-14,2,1,4,apron
b07-14,2,2,5,belt
b07-14,2,3,6,tie
b07-15,1,1,1,sandals
b07-15,1,2,2,flip_flops
b07-15,1,3,3,shoe
b07-15,2,1,4,sunglasses
b07-15,2,2,5,headband
b07-15,2,3,6,watch
b07-16,1,1,1,ring
b07-16,1,2,2,necklace
b07-16,2,1,3,wallet
b07-16,2,2,4,suitcase
