sheet,row,col,index,id
b08-01,1,1,1,acorn
b08-01,1,2,2,pine_cone
b08-01,1,3,3,autumn_leaf
b08-01,2,1,4,clover
b08-01,2,2,5,sprout
b08-01,2,3,6,branch
b08-02,1,1,1,rose
b08-02,1,2,2,tulip
b08-02,1,3,3,poppy
b08-02,2,1,4,lily
b08-02,2,2,5,water_lily
b08-02,2,3,6,lavender
b08-03,1,1,1,bouquet
b08-03,1,2,2,wreath
b08-03,1,3,3,fern
b08-03,2,1,4,bamboo
b08-03,2,2,5,wheat
b08-03,2,3,6,bush
b08-04,1,1,1,oak
b08-04,1,2,2,birch
b08-04,1,3,3,pine
b08-04,2,1,4,willow
b08-04,2,2,5,stump
b08-04,2,3,6,log
b08-05,1,1,1,lightning
b08-05,1,2,2,tornado
b08-05,1,3,3,icicle
b08-05,2,1,4,wave
b08-05,2,2,5,sand
b08-05,2,3,6,crystal
b08-06,1,1,1,diamond
b08-06,1,2,2,planet
b08-06,1,3,3,earth
b08-06,2,1,4,globe
b08-06,2,2,5,ufo
b08-06,2,3,6,alien
b08-07,1,1,1,skis
b08-07,1,2,2,snowboard
b08-07,1,3,3,trophy
b08-07,2,1,4,goal
b08-07,2,2,5,racket
b08-07,2,3,6,helmet
b08-08,1,1,1,fishing_rod
b08-08,1,2,2,target
b08-08,1,3,3,basketball
b08-08,2,1,4,hockey_stick
b08-08,2,2,5,boxing_gloves
b08-08,2,3,6,dumbbell
b08-09,1,1,1,flippers
b08-09,1,2,2,sleeping_bag
b08-09,1,3,3,deckchair
b08-09,2,1,4,stopwatch
b08-09,2,2,5,life_jacket
b08-09,2,3,6,birdhouse
b08-10,1,1,1,tower
b08-10,1,2,2,lighthouse
b08-10,1,3,3,windmill
b08-10,2,1,4,igloo
b08-10,2,2,5,fountain
b08-10,2,3,6,skyscraper
b08-11,1,1,1,pyramid
b08-11,1,2,2,tent_hut
b08-11,1,3,3,hospital
b08-11,2,1,4,shop
b08-11,2,2,5,garage
b08-11,2,3,6,treehouse
b08-12,1,1,1,stadium
b08-12,1,2,2,swimming_pool
b08-12,1,3,3,pharmacy
b08-12,2,1,4,factory
b08-12,2,2,5,wizard
b08-12,2,3,6,throne
b08-13,1,1,1,magic_wand
b08-13,1,2,2,treasure_chest
b08-13,1,3,3,mask
b08-13,2,1,4,lantern
b08-13,2,2,5,flying_carpet
b08-13,2,3,6,easter_egg
b08-14,1,1,1,confetti
b08-14,1,2,2,party_hat
b08-14,2,1,3,treasure_map
b08-14,2,2,4,ghost
b08-15,1,1,1,island
b08-15,1,2,2,waterfall
b08-15,2,1,3,cave
b08-15,2,2,4,iceberg
b08-16,1,1,1,desert
b08-16,1,2,2,sunset
b08-16,2,1,3,pond
b08-16,2,2,4,satellite
b08-17,1,1,1,zoo
b08-17,1,2,2,farm
b08-17,2,1,3,tunnel
b08-17,2,2,4,playground
